粥,,zhōu,congee,,
橙汁,,chéngzhī,orange juice,,
华侨,,huáqiáo,overseas Chinese,,
功夫,,gōngfu,kung fu,,
厦门,,Xiàmén,Xiamen,,
佛教徒,,Fójiàotú,Buddhist,,
树叶,,shùyè,leaves,,
玉,,yù,jade,,
肖像,,xiàoxiàng,portrait,,
行动电源,,xíngdòngdiànyuán,power bank,,
牵牛花,,qiānniúhuā,morning glory,,
喇叭花,,lǎbahuā,morning glory,,
搅拌,,jiǎobàn,stir; mix,,
带走,,dàizǒu,take away,,
中南海,,Zhōngnánhǎi,Zhongnanhai,,
鼓浪屿,,Gǔlàngyǔ,Gulangyu Island,,
繁体,,fántǐ,traditional Chinese characters,,
江山,,jiāngshān,landscape; country,,
小皇帝,,xiǎohuángdì,spoiled child,,
或者,,huòzhě,or; perhaps,,
岭南文化,,Lǐngnán wénhuà,Lingnan culture,,
羊肚菌,,yángdùjùn,morel mushroom,,
围棋,,wéiqí,Go game,,
负,,fù,carry on the back,,
松树,,sōngshù,pine tree,,
糖葫芦,,tánghúlu,candied hawthorn,,
陈皮,,chénpí,dried tangerine peel,,
橙皮,,chéngpí,orange peel,,
园,,yuán,garden,,
朴,,pǔ,plain; simple,,
平遥,,Píngyáo,Pingyao,,
庆,,qìng,celebrate,,
凉茶,,liángchá,herbal tea,,
卫生,,wèishēng,hygiene,,
江山如画,,jiāngshān rúhuà,picturesque scenery,,
运动,,yùndòng,exercise; sports,,
喷,,pēn,spray,,
花束,,huāshù,bouquet,,
寺,,sì,temple,,
龙华,,Lónghuá,Longhua,,
家乡,,jiāxiāng,hometown,,
现金,,xiànjīn,cash,,
现,,xiàn,appear; now,,
湛江市,,Zhànjiāng Shì,Zhanjiang City,,
淮海,,Huái-Hǎi,Huai-Hai region,,
淮海地区,,Huáihǎi dìqū,Huaihai region,,
淮海战役,,Huáihǎi zhànyì,Huaihai Campaign,,
武昌起义,,Wǔchāng Qǐyì,Wuchang Uprising,,
巴金,,Bā Jīn,Ba Jin,,
宋庆龄,,Sòng Qìnglíng,Song Qingling,,
送秋波,,sòng qiūbō,cast amorous glances,,
师傅,,shīfu,master; skilled worker,,
寒秋,,hánqiū,late autumn,,
大力士,,dàlìshì,strongman,,
山楂,,shānzhā,hawthorn,,
草莓,,cǎoméi,strawberry,,
兔,,tù,rabbit,,
陈毅,,Chén Yì,Chen Yi,,
外滩,,wàitān,the Bund,,
梳子,,shūzi,comb,,
钱包,,qiánbāo,wallet,,
复兴,,fùxīng,revive; rejuvenate,,
中国结,,Zhōngguó jié,Chinese knot,,
词源,,cíyuán,etymology,,
字,,zì,character,,
格,,gé,grammatical unit,,
田,,tián,field,,
民主,,mínzhǔ,democracy,,
先辈,,xiānbèi,forebears,,
开封,,Kāifēng,Kaifeng,,
藕粉,,ǒufěn,lotus root starch,,
锅盔,,guōkuī,round baked flatbread,,
豉,,chǐ,fermented soybeans,,
柯,,kē,branch; axe handle,,
寿,,shòu,longevity,,
武林,,wǔlín,martial arts circles,,
江湖,,jiānghú,martial world,,
样板间,,yàngbǎnjiān,showroom,,
春节,,Chūn Jié,Spring Festival,,
练习,,liànxí,practice,,
精制品,,jīngzhìpǐn,refined products,,
词汇,,cíhuì,vocabulary,,
教,,jiāo,teach,,
懿,,yì,virtuous,,
猴子,,hóuzi,monkey,,
小龙,,xiǎolóng,snake (zodiac),,
蛇,,shé,snake,,
饮料,,yǐnliào,beverage,,
艮,,gèn,Gen trigram,,
混血,,hùnxuè,mixed blood,,
喝,,hē,drink,,
啤酒,,píjiǔ,beer,,
很好,,hěn hǎo,very good,,
冒,,mào,emit; give off,,
工程师,,gōngchéngshī,engineer,,
软件,,ruǎnjiàn,software,,
忙,,máng,busy,,
笨蛋,,bèndàn,idiot,,
抹茶,,mǒchá,matcha,,
欺负,,qīfu,bully,,
定,,dìng,decide; fix,,
捏,,niē,pinch,,
长城,,Chángchéng,Great Wall,,
花生,,huāshēng,peanut,,
毛豆,,máodòu,edamame,,
回,,huí,return; turn back,,
还是,,háishi,still; yet,,
官二代,,guān’èrdài,children of officials,,
高丽菜,,gāolícài,cabbage,,
发呆,,fādāi,be in a daze,,
释迦,,shìjiā,sugar apple,,
充值卡,,chōngzhíkǎ,recharge card,,
无法,,wúfǎ,unable,,
一切,,yīqiè,everything,,
帮助,,bāngzhù,help,,
开心,,kāixīn,happy,,
没事,,méishì,be free; no problem,,
人民日报,,Rénmín Rìbào,People’s Daily,,
日本,,Rìběn,Japan,,
人民,,rénmín,the people,,
热敏,,rèmǐn,thermo-sensitive,,
小费,,xiǎofèi,tip; gratuity,,
纯素,,chúnsù,vegan,,
全素,,quánsù,vegan,,
全素食,,quánsùshí,vegan diet,,
流行,,liúxíng,popular; prevalent,,
奇怪,,qíguài,strange,,
大陆,,dàlù,mainland,,
同,,tóng,same,,
想起来,,xiǎngqǐlái,remember; recall,,
小妹,,xiǎomèi,little sister; young woman,,
告别,,gàobié,say goodbye; farewell,,
茯苓,,fúlíng,poria; tuckahoe (medicinal fungus),,
孟,,Mèng,surname Meng,,
济南,,Jǐnán,Jinan (capital of Shandong),,
乌鲁木齐市,,Wūlǔmùqí Shì,Urumqi (capital of Xinjiang),,
码农,,mǎnóng,programmer (slang),,
的,,de,possessive/attributive particle,,
秦始皇,,Qín Shǐhuáng,Qin Shi Huang (first emperor of Qin),,
人,,rén,person; people,,
蒙特利尔,,Méngtèlì'ěr,Montreal,,
什么,,shénme,what,,
不客气,,bú kèqi,you’re welcome; don’t mention it,,
星期,,xīngqī,week; weekday,,
电话号码,,diànhuà hàomǎ,telephone number,,
医生,,yīshēng,doctor,,
贤,,xián,virtuous; worthy,,
一下儿,,yíxiàr,a bit; for a moment,,
小妹妹,,xiǎomèimei,little sister; young girl,,
颜,,Yán,surname Yan,,
潇,,xiāo,deep and clear (literary); brisk,,
逸,,yì,ease; leisure; escape,,
推拉,,tuīlā,push and pull,,
阿,,ā,prefix/particle used in names or address,,
好久不见,,hǎojiǔ bújiàn,long time no see,,
人民币,,rénmínbì,Renminbi (RMB),,
话,,huà,speech; word; talk,,
去,,qù,go,,
洛阳,,Luòyáng,Luoyang,,
肏,,cào,fuck (vulgar),,
痧子,,shāzi,measles,,
苏,,Sū,surname Su; also shorthand for Jiangsu,,
杨,,Yáng,surname Yang,,
琪,,Qí,fine jade; surname Qi,,
海洋,,hǎiyáng,ocean; seas,,
洋,,yáng,ocean; foreign,,
斯蒂芬,,Sīdìfēn,Stephen,,
瑞,,ruì,auspicious; jade token; surname Rui,,
杨斌,,Yáng Bīn,Yang Bin (name),,
姚滨,,Yáo Bīn,Yao Bin (name),,
电影明星,,diànyǐng míngxīng,movie star,,
纯素食者,,chúnsùshízhě,vegan,,
中庸之道,,zhōngyōng zhī dào,Doctrine of the Mean; middle way,,
毛泽东思想,,Máo Zédōng Sīxiǎng,Mao Zedong Thought,,
数,,shù,number; count,,
平,,Píng,surname Ping,,
和,,hé,gentle; harmonious; and,,
情变,,qíngbiàn,breakup; change in relationship,,
先,,xiān,ancestor; former; first,,
崾岘,,yǎoxiàn,Yaoxian (place name),,
阴道炎,,yīndàoyán,vaginitis,,
毛衣,,máoyī,sweater,,
熟女,,shúnǚ,stylish mature woman,,
刻薄,,kèbó,unkind; harsh; mean,,
浴巾,,yùjīn,bath towel,,
笨手笨脚,,bènshǒu bènjiǎo,clumsy; awkward,,
邠,,Bīn,Bin (ancient place name),,
可不,,kěbù,exactly; right,,
真,,zhēn,true; real,,
送给,,sònggěi,give as a present; send to,,
逼,,bī,force; compel,,
教育,,jiàoyù,education,,
教导,,jiàodǎo,instruct; teach,,
不得了,,bùdéliǎo,terrible; extremely; amazing,,
色魔,,sèmó,sex fiend; pervert,,
图,,tú,picture; map; plan,,
企图,,qǐtú,attempt; try; intend,,
尝试,,chángshì,try; attempt,,
啊,,a,particle/exclamation,,
豆豉,,dòuchǐ,fermented black beans,,
豆瓣酱,,dòubànjiàng,doubanjiang; chili bean paste,,
炒蛋,,chǎodàn,scrambled eggs,,
损,,sǔn,decrease; damage,,
免费,,miǎnfèi,free of charge,,
咏,,yǒng,chant; eulogize,,
电荷,,diànhè,electric charge,,
才,,cái,talent; only then,,
彭丽媛,,Péng Lìyuán,Peng Liyuan,,
沉鱼落雁,,chén yú luò yàn,beauty that sinks fish and makes birds fall,,
醉翁之意不在酒,,zuìwēng zhī yì bù zài jiǔ,the real intention is not in the wine,,
四季豆,,sìjìdòu,green bean; string bean,,
周游,,zhōuyóu,travel around,,
游泳,,yóuyǒng,swim; swimming,,
波霸,,bōbà,big boobs (slang),,
胸大无脑,,xiōng dà wú nǎo,bimbo (lit. big chest no brains),,
枕头,,zhěntou,pillow,,
琢,,zhuó,carve; polish (jade),,
想象,,xiǎngxiàng,imagination; imagine,,
义,,Yì,surname Yi; righteousness,,
控,,kòng,control; accuse,,
屌丝,,diǎosī,loser (internet slang),,
吃饱了撑的,,chī bǎo le chēng de,have nothing better to do (lit. stuffed from eating),,
吃饱了饭撑的,,chī bǎo le fàn chēng de,have nothing better to do,,
完,,wán,finished; intact,,
星巴克,,Xīngbākè,Starbucks,,
高考,,gāokǎo,national college entrance exam,,
