曲,曲,qǔ,tune; melody,,"sub-word of ""musical composition"""
曲,曲,qǔ,tune; melody,这曲子很好听。,
出租车,出租車,chūzūchē,taxi,我们坐出租车去吧。,
出,出,chū,to go out; to emit,,"sub-word of ""taxi"""
租,租,zū,to rent,,"sub-word of ""taxi"""
车,車,chē,vehicle,,"sub-word of ""taxi"""
出租,出租,chūzū,to rent out,,"sub-word of ""taxi"""
出租,出租,chūzū,to rent; to hire,我出租房子。,
出,出,chū,to go out; to emit,,"sub-word of ""to rent; to hire"""
租,租,zū,to rent,,"sub-word of ""to rent; to hire"""
路上,路上,lùshang,on the road,我在路上。,
路,路,lù,road,,"sub-word of ""on the road"""
上,上,shàng,on; above,,"sub-word of ""on the road"""
花儿,花兒,huār,flower,我喜欢花儿。,
花,花,huā,flower,,"sub-word of ""flower"""
儿,兒,ér,child,,"sub-word of ""flower"""
过去,過去,guòqù,in or of the past,过去的人都很勤劳。,
过,過,guò,past; to pass,,"sub-word of ""in or of the past"""
去,去,qù,to go,,"sub-word of ""in or of the past"""
照相机,照相機,zhàoxiàngjī,camera,我买了一个新照相机。,
照,照,zhào,to photograph; shine,,"sub-word of ""camera"""
相,相,xiàng,image; appearance,,"sub-word of ""camera"""
机,機,jī,machine or device; opportunity or chance,,"sub-word of ""camera"""
照相,照相,zhàoxiàng,to take photos,,"sub-word of ""camera"""
相机,相機,xiàngjī,camera,,"sub-word of ""camera"""
照相,照相,zhàoxiàng,to take a picture,我喜欢照相。,
照,照,zhào,to photograph; shine,,"sub-word of ""to take a picture"""
相,相,xiàng,image; appearance,,"sub-word of ""to take a picture"""
旁边,旁邊,pángbiān,side; beside,他坐在我旁边。,
旁,旁,páng,side,,"sub-word of ""side; beside"""
边,邊,biān,edge; side,,"sub-word of ""side; beside"""
出发,出發,chūfā,to set out; to start off,我们早上八点出发。,
出,出,chū,to go out; to emit,,"sub-word of ""to set out; to start off"""
发,發,fā,to send; to emit,,"sub-word of ""to set out; to start off"""
篇,篇,piān,measure word for articles,我写了一篇文章。,
文章,文章,wénzhāng,essay; article,这篇文章很好。,
文,文,wén,writing; literature,,"sub-word of ""essay; article"""
章,章,zhāng,chapter; section,,"sub-word of ""essay; article"""
恭喜,恭喜,gōngxǐ,congratulations,恭喜发财！,
恭,恭,gōng,respectful,,"sub-word of ""congratulations"""
喜,喜,xǐ,joy; happiness,,"sub-word of ""congratulations"""
火车,火車,huǒchē,train,火车到了。,
火,火,huǒ,fire; heat,,"sub-word of ""train"""
车,車,chē,vehicle,,"sub-word of ""train"""
又,又,yòu,again,他又来了。,
着急,著急,zháojí,anxious; worried,别着急。,
着,著,zháo,to catch; to succeed,,"sub-word of ""anxious; worried"""
急,急,jí,anxious; urgent,,"sub-word of ""anxious; worried"""
春江花月夜,春江花月夜,Chūn Jiāng Huā Yuè Yè,traditional music composition,我喜欢《春江花月夜》。,
春,春,chūn,spring,,"sub-word of ""traditional music composition"""
江,江,jiāng,river or stream,,"sub-word of ""traditional music composition"""
花,花,huā,flower,,"sub-word of ""traditional music composition"""
月,月,yuè,moon,,"sub-word of ""traditional music composition"""
夜,夜,yè,night or nighttime,,"sub-word of ""traditional music composition"""
春江,春江,chūnjiāng,spring river,,"sub-word of ""traditional music composition"""
月夜,月夜,yuèyè,moonlit night,,"sub-word of ""traditional music composition"""
小学,小學,xiǎoxué,primary school,他在小学教书。,
小,小,xiǎo,small,,"sub-word of ""primary school"""
学,學,xué,to study; learning,,"sub-word of ""primary school"""
辆,輛,liàng,measure word for vehicles,一辆车。,
音乐厅,音樂廳,yīnyuètīng,concert hall,音乐厅很大。,
音,音,yīn,sound or tone,,"sub-word of ""concert hall"""
乐,樂,yuè,music,,"sub-word of ""concert hall"""
厅,廳,tīng,hall,,"sub-word of ""concert hall"""
音乐,音樂,yīnyuè,music,,"sub-word of ""concert hall"""
幸福,幸福,xìngfú,happy,他们的生活很幸福。,
幸,幸,xìng,good fortune,,"sub-word of ""happy"""
福,福,fú,blessing,,"sub-word of ""happy"""
万事如意,萬事如意,wàn shì rú yì,may all your wishes come true,新年万事如意！,
万,萬,wàn,ten thousand or myriad,,"sub-word of ""may all your wishes come true"""
事,事,shì,matter or affair,,"sub-word of ""may all your wishes come true"""
如,如,rú,as or like,,"sub-word of ""may all your wishes come true"""
意,意,yì,meaning or intention,,"sub-word of ""may all your wishes come true"""
万事,萬事,wànshì,everything,,"sub-word of ""may all your wishes come true"""
如意,如意,rúyì,as one wishes,,"sub-word of ""may all your wishes come true"""
条,條,tiáo,measure word for long objects,一条裤子。,
蛇,蛇,shé,snake,我怕蛇。,
最,最,zuì,most,这个最好。,
添,添,tiān,to add,请添点儿菜。,
脚,腳,jiǎo,foot,我的脚疼。,
完,完,wán,to finish,我写完了。,
多余,多餘,duōyú,surplus; unneeded,这些是多余的。,
多,多,duō,many; much,,"sub-word of ""surplus; unneeded"""
余,餘,yú,surplus; remainder,,"sub-word of ""surplus; unneeded"""
足,足,zú,foot,足球是用脚踢的。,
